Subject,Topic,SubquestionAType,SubQuestionAText,SubquestionAAnswer,SubquestionAImage,SubquestionBType,SubQuestionBText,SubquestionBAnswer,SubquestionBImage,SubquestionCType,SubQuestionCText,SubquestionCAnswer,SubquestionCImage,SubquestionDType,SubQuestionDText,SubquestionDAnswer,SubquestionDImage
Simulation,Desaturation,,You have been bleeped by the ICU Nurse in Charge who has asked for your help with an intubated patient with severe asthma who is desaturating. How would you assess this patient?,"The obs show severe hypoxaemia and high ventilation pressures which could be associated with a pneumothorax. I would ask for senior help while conducting a full ABCDE assessment of the patient, apply 100% O2, switch to volume control. Check for equipment failures from machine to patient. Consider suction. Consider bag ventilating the patient. Send ABG.",DesaturationSubquestionA.jpeg,,What is your differential diagnosis for the cause of hypoxaemia in this patient?,"Low inspired oxygen, Hypoventilation, V/Q mismatch in airway, alveole or pleura(oedema, spasm, PTX), deadspace(PE), increased O2 demand",DesaturationSubquestionB.jpeg,,"On examination you find hyperresonance to percussion on the left side, reduced air entry on the left side and the trachea deviated to the right. What is the most likely diagnosis and how would you manage this patient?","These examination findings, and the history of asthma, indicate that a pneumothorax is likely. I would call for help from a senior and prepare to insert a chest drain. If the patient was stable I would confirm with a chest ultrasound and consider an urgent X-Ray. ",DesaturationSubquestionC.jpeg,,How do you insert a chest drain using the seldinger technique?,"1) Prepare equipment and patient. 2) Anaesthetise site if needed and insert needle above rib until pleural content aspirated. 3) Insert guidewire through needle. 4) Make an incision over the wire with a scalpel. 5) Dilate over the wire. 6) Insert the drain. 7) Connect to underwater sealed drain, and suture in place.",DesaturationSubquestionD.jpeg
Simulation,EpiduralTopup,,A CT2 has asked for help in obstetric theatre. The patient has been brought to theatre for a trial of forceps delivery and an epidural had been inserted 8 hours prior. The patient has become hypotensive and bradycardic. She reports felling slightly dizzy but has a GCS of 15/15. How would you assess this patient?,"This is a peri-arrest scenario so I would ask for an anaesthetic emergency call to be put out while I perform a full ABCDE assessment of the patient, apply 100% O2. A -  airway is patent. B - Look and listen to breathing. C - check access, assess cardiovascular status, begin IV fluids, atropine and vasopressor like phenylephrine. Other information to obtain: epidural details (insertion, difficulty, top-ups, testing), venous access, allergies.",EpiduralTopUpA.jpeg,,What are the possible causes of hypotension and bradycardia in this patient?,"Subarachnoid migration of epidural catheter leading to high spinal is most likely. IV local anaesthetic injection is possible. Obstetric causes of collapse are: haemorrhage, eclampsia, sepsis, rupture.",EpiduralTopUpB.jpeg,,How would you manage this patient?,"A - The patient is talking so one can assume it is currently secure. B - Give 100% O2, Assess depth of breathing via looking and listening to the chest. If breathing is inadequate of consciousness drops then prepare for urgent RSI and intubation. C - Ensure good IV access. Atropine for bradycardia, vasopressors and IV fluid for hypotension. D - assess height of sensory block. If IV local anaesthetic toxicity is suspected then I would give Intralipid 1.5mL/kg bolus followed by an infusion.",EpiduralTopUpC.jpeg,,What is the dose of intralipid for local anaesthetic toxicity?,Intralipid initial bolus of 1.5mL/kg over 1 minute followed by an infusion o f15 mL/kg/hour.,EpiduralTopUpD.jpeg
Simulation,LowGCS,,You have been asked to review a patient in A&E who was brought to hospital by ambulance following a road traffic accident. His GCS was 14 on arrival but has now dropped to 3. He has been intubated and is being ventilated. How would you assess this patient?,"The hypertension, bradycardia and reduced GCS suggest a serious deterioration and possibly coning. I would ask for help and conduct a ABCDE assessment of the patient, 100% O2 and look for causes of hypertension and bradycardia. Check ETT position, ensure adequate ventilation. Check access and adequate sedation level. Confirm GCS, check pupils and posture. Perform basic neurology exam.",LowGCSA.jpeg,,What is your differential diagnosis for the cause of hypertension in this scenario?,"Raised intracranial pressure causing Cushing's reflex of bradycardia and hypertension. Other causes are: hypertensive crisis, hyperthyroidism, renal disease and pre-eclampsia. ",LowGCSB.jpeg,,On examination the GCS is 3 and the pupils are fixed and dilated. How would you manage this patient? What is the dose of Hypertonic saline to treat acutely raised  intracranial pressure? What is the dose of mannitol for treating acutely raised intracranial pressure?,"Adequate neuroprotective anaesthesia, ensure an urgent CT scan and Neurosurgical referral has been made. Sodium Chloride 3% IV 3 - 5 mL/kg or Mannitol 0.25 to 1 g/ kg.",LowGCSC.jpeg,,"Look at the blood gas result. Using these results, would you change anything about your current ventilation settings?","The CO2 is above the target range of 4.5 - 5.0 so ventilation must be increased. The oxygenation is much higher than required. Increase rasp rate, increase tidal volume, increase expiratory time, decrease inspiratory time.",LowGCSC.jpeg
Simulation,TraumaTheatre,,You have been asked to help a CT1 in trauma theatre. They have just performed a rapid sequence induction on a 65 year old fit and well  patient who has sustained a femur fracture. Initial observations were normal but the patient has become hypotensive and hypoxic after moving through to theatre. How would you assess this patient?,"The obs show hypotension and hypoxia which is an emergency. I would ask the surgeon to stop while I perform a full ABCDE assessment of the patient, 100% O2 and look for causes of hypotension and hypoxia. A - Check ETT position. B - Check adequate ventilation bilaterally, looking and listening to the chest. C - Check warmth, HR, BP and IV access. Give IV crystalloid bolus and vasopressor. Look for blood loss and consider tourniquet.",TraumaTheatreA.jpeg,,What is your differential diagnosis for the cause of hypoxaemia and hypotension in this patient?,"Hypoxaemia: Inadequate ventilation, V/Q mismatch,  Fat Embolism, PE, Pneumothorax, Atelectasis, Sepsis. Hypotension: Fat Embolism, PE, Sepsis, Haemorrhage",TraumaTheatreB.jpeg,,What are the primary issues and how would you manage this patient?,"Call for help. A - Airway appears secure. B - 100% O2, Increase ventilation. C - IV Fluids, vasopressors, Aim MAP > 65. Consider tourniquet, antibiotics, reducing anaesthetic concentration. Priorities are to treat hypotension and hypoxia while excluding reversible causes. Treatment of fat embolism is by supportive measures.",TraumaTheatreC.jpeg,,What is the definition of shock? What is the normal physiological response to haemorrhage? (Immediate and delayed),Shock is inadequate tissue perfusion and an associated physiological response. The immediate response to hypovolaemia is by baroreceptors in the carotid bodies and aorta which trigger the sympathetic nervous system which leads to vasoconstriction and tachycardia. Pallor may develop if haemorrhage continues. Subsequently ADH is released and the RAAS system is activated. ,TraumaTheatreC.jpeg
Simulation,ECGChanges,,A CT1 has anaesthetised a 71 year old smoker for a knee replacement and has now noticed some changes on the ECG monitor. They are intubated and ventilated. Please assess the patient and commence management where appropriate.,"The ECG appears to show acute ischaemia with moderate  hypotension, I would ask the surgeon to stop while I  conduct a  full ABCDE assessment, apply 100% oxygen. A - check ETT position. B - look and listen to chest. C - Check perfusion, BP, Temp and HR. Listen to heart sounds, get urgent 12 lead ECG. If that confirms ischaemia then cancel the case, give GTN spray sublingually ask for help from senior colleague and make an urgent referral to cardiology. I would consider immediate referral to Cardiology to discuss further anticoagulant or interventional management, bearing in mind the risk of bleeding.",ECGChangesA.jpeg,,How would you manage this patient?,"The ECG changes confirm perioperative ischaemia and hypotension. I would ensure good IV access, give a fluid bolus and consider a vasopressor to improve the hypotension which may have caused the ischaemia. If there were no improvement I would give  a spray of GTN sublingually. I would cancel the case, send bloods and refer to cardiology and arrange a bed on HDU/CCU",ECGChangesB.jpeg,,What are the modifiable and non-modifiable risk factors for perioperative MI?,"Risk Factors for Perioperative MI are: Age, ASA grade, current smoker, DM, Coronary artery disease, Heart failure, Anaemia and severity of surgery being undertaken. ",ECGChangesB.jpeg,,What are the common scoring systems for risk of perioperative mortality?,"Lee’s Revised Cardiac Risk Index has 6 factors: Major surgery, IHD, CCF, CVA, DM on insulin, Creatining > 76. ASA score is commonly used and gives a score from 1 to 6 with increasing severity: Normal and healthy, mild disease, severe disease, life-threatening disease, moribund and brain-dead.",ECGChangesB.jpeg
Simulation,Fever,,You have been called to general theatre to help a CT1. The patient is a 35 year old with no known allergies who is undergoing a laparoscopic appendicectomy. The patient is intubated and ventilated. The CT1 is concerned about tachycardia.,"The observations show a raised end tidal CO2, tachycardia and slightly increased temperature. This could be due to inadequate anaesthesia or malignant hyperthermia among other things.  I would ask the surgeon to stop while I  conduct a  full ABCDE assessment, apply 100% oxygen. A - check ETT position. B - look and listen to chest. C - Check perfusion, BP, Temp and HR, and send an arterial blood gas. I would ensure adequate anaesthesia and analgesia. I would then ask for senior help and begin treatment for malignant hyperthermia if suspected.",FeverA.jpeg,,What is the differential diagnosis for raised etCO2 and tachycardia?,"CVS/RESP: hypoventilation, sepsis. IATROGENIC: Lap. CO2, overwarming. ENDO: thyrotoxicosis, pheochromocytoma. NEURO: intracranial bleed or tumour. TOXIN: ecstasy, cocaine.",FeverB.jpeg,,What is the treatment for malignant hyperthermia?,"1) Declare emergency, ask for help, stop surgery. 2) Change anaesthetic: turn-off volatile, start TIVA, switch ventilation device. 3) Reduce CO2 and Temp: Hyperventilate, 100% O2, remove gown. 4) Dantrolene - assign someone to draw up and give Dantrolene 2.5 mg/kg every 5 minutes. 5) Send bloods and refer to ICU once recovered",FeverC.jpeg,,What is the pathophysiology of Malignant Hyperthermia? How can you test family members for Malignant Hyperthermia? ,"A rare genetic disorder leading to abnormal ryanodine receptor on the sarcoplasmic reticulum leading to uncoupling of metabolism with requirement, sustained contraction, hyperthermia, Increased oxygen requirement and CO2 production. Masseter spasm is an early sign, and is not responsive to muscle relaxation. Patients and their families should be referred for genetic testing and possibly muscle biopsy.",FeverC.jpeg
Resuscitation,Resus1,,You are attending a cardiac arrest call for a 63 year old male who was found in cardiac arrest in the A&E waiting room. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/01a7ec5321a44c5ca25e3ba4ec672f77,,What is the rhythm shown on the display? Would you deliver a shock to this patient? How would you deliver a shock to the patient safely? ,"The rhythm is Ventricular Tachycardia which is a shockable rhythm. I would ask to continue CPR while I prepare to shock the patient. The Defibrillator should be set to 150J for an adult and then the charge button should be pressed. I would ask everyone except the person doing compressions stand back and oxygen removed from the patient. Once the defibrillator is ready, I would ensure that everyone is clear including the one doing compressions, then press the shock button. CPR can recommence immediately after without doing a subsequent rhythm check.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/01a7ec5321a44c5ca25e3ba4ec672f77,,"Would you give any drugs to this patient if resuscitation continue for 5 cycles? What drug, dose and time?",I would give Adrenaline 1mg IV every 3 to 5 minutes and Amiodarone 300mg IV every 3 shocks.,,,,,
Resuscitation,Resus2,,You are attending a cardiac arrest call for a 59 year old male who was found in cardiac arrest having collapsed in the bathroom on the surgical ward. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/2ebf0b08e84845bd95f3f0e691b83f19,,What is the rhythm shown on the display? Would you deliver a shock to this patient? How would you deliver a shock to the patient safely? ,"The rhythm is Ventricular Fibrillation which is a shockable rhythm. I would ask to continue CPR while I prepare to shock the patient. The Defibrillator should be set to 150J for an adult and then the charge button should be pressed. I would ask everyone except the person doing compressions stand back and oxygen removed from the patient. Once the defibrillator is ready, I would ensure that everyone is clear including the one doing compressions, then press the shock button. CPR can recommence immediately after without doing a subsequent rhythm check.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/2ebf0b08e84845bd95f3f0e691b83f19,,"Would you give any drugs to this patient if resuscitation continue for 5 cycles? What drug, dose and time?",I would give Adrenaline 1mg IV every 3 to 5 minutes and Amiodarone 300mg IV every 3 shocks.,,,,,
Resuscitation,Resus3,,You are attending a cardiac arrest call for a 73 year old male who was brought in by ambulance 45 minutes ago alert and feeling unwell. He subsequently went into cardiac arrest. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d324c8fb60074c31ae3b27e7296b0e5b,,What is the rhythm shown on the display? Would you deliver a shock to this patient?  Would you give atropine to this patient while in cardiac arrest?,The rhythm is Pulseless Electrical Activity (PEA) which is a non-shockable rhythm. CPR should be continued and a shock should not be delivered. Atropine is not in the ALS algorithm so shouldn't be given during CPR. If the patient regains spontaneous circulation and remains bradycardic then it should be considered. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/d324c8fb60074c31ae3b27e7296b0e5b,,"A pulse is palpable so you declare return of spontaneous circulation, but the patient remains unresponsive. A new set of obs is shown on screen. What drugs could be used to treat the patient?","The monitor shows bradycardia and hypotension. I would treat the bradycardia with atropine IV 500mcg, observe for an improvement and consider an isoprenaline or adrenaline  infusion or external ventricular pacing.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/fcb21e144a0a481fbdd8a89779ffb23e,,,,
Resuscitation,Resus4,,You are attending a cardiac arrest call for a 48 year old male who was found in cardiac arrest on a medical ward. A paramedic is currently doing chest compressions and you have been asked to lead the resuscitation attempt. Please describe how you would lead the resuscitation.,"I would lead the arrest according to ALS guidelines. I would  confirm cardiac arrest, attach the defibrillator and switch it on at 150J. CPR should continue in a 30:2 ratio until the airway is secured. I would then pause CPR to assess the rhythm and follow the shockable or non-shockable side of the algorithm. At the same time I would ensure that good quality compressions are being performed, 100% oxygen is being used for adequate ventilation and vascular access has been established. I would then consider all of the reversible causes of cardiac arrest.",https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/e22539530a67469a9557a7da854ed47c,,What is the rhythm shown on the display? Would you deliver a shock to this patient? ,The rhythm is Asystole which is a non-shockable rhythm. CPR should be continued and a shock should not be delivered. ,https://storage.googleapis.com/production-hostgator-v1-0-7/127/338127/xa71s1rE/e22539530a67469a9557a7da854ed47c,,How can you ensure that chest compressions are effective?,"The person doing CPR should kneel over the patient on a hard surface, place hands over the centre of the sternum and push down with straight arms to a depth of 5cm for adults, with regular rotation if tired. The compressions should have a rate of 100 to 120. The compressions should be done using a 30:2 ratio of compression to breaths. End Tidal CO2 should be used to measure effectiveness of CPR.  Mechanical devices like the LUCAS can be used.",,,,,
