subject,topic,Title,question,image,option1,option2,option3,option4,option5,explain,correct,selected,answered,answeredCorrectly
Pharmacology & Statistics,Pharmacology,ACS 1,A 75 year old man is undergoing a TURP under GA. The ECG monitor shows ST depression and the systolic blood pressure has dropped from 145 to 110. Which is the most appropriate immediate treatment?,,Isosorbide Mononitrate,Adrenaline,Metaraminol,GTN Spray,Fluid bolus,"GTN is the most important immediate treatment for NSTEMI during an operation. This patient has ECG changes indicative of cardiac ischaemia so the theatre staff and surgeon should be notified, a 12 lead ECG should be performed and senior help should be sought. Early treatment of GTN will help with coronary vasodilatation and coronary perfusion. IMN would help but this patient is unlikely to be able to IMN orally so this is inappropriate. Adrenaline and Metaraminol might increase cardiac inotropy and worsen the coronary ischaemia. A fluid bolus may be indicated but GTN is more appropriate in this case.",GTN Spray,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,ACS 2,"A 81 year old male is undergoing a Trans-urethral Resection of the Prostate under spinal anaesthesia. During the case the blood pressure drops to 80/50 and there is ST elevation on the ECG. A 12 lead ECG shows ST elevation in leads II, III and aVF. Which coronary artery is most likely to supply the infarcted area?",https://i.imgur.com/JnyCbHN.jpg,Right Coronary Artery,Right Circumflex,Left Circumflex,Left Anterior Descending,Diagonal Artery,"Leads II, III and aVF represent the inferior aspect of the heart which is supplied by the Right Coronary Artery in 90% of cases. See the ECG diagram below to see which leads are represented by which artery.",Right Coronary Artery,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Anti-emetics 1,Which anti-emetic is most appropriate to use  to prevent  post-operative nausea and vomiting?,,Haloperidol 2.5mg IV,Dimenhydrate 50mg IV,Scopolamine transdermal,Dexamethasone 6.6mg IV,Metoclopramide 10mg IV,"Dexamethasone, Ondansetron, Droperidol, Aprepitant and use of TIVA  have been shown to be effective at preventing PONV but metoclopramide, haloperidol, scopolamine and Dimenhydrate do not have good evidence to support their usage first line",Dexamethasone 6.6mg IV,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Anti-emetics 2,What is the strongest risk factor for post-operative nausea and vomiting (PONV)?,,History of motion sickness,Use of volatile anaesthetics,History of PONV,Non-smoker,Female gender,The female gender is the strongest risk factor for PONV with an Odds Ratio of 3. The remaining factors in the list have an odds ratio of roughly 2. The risk factors are additive so a female non-smoker with a history of PONV and use of volatile agents has an 80% risk of PONV.,Female gender,TRUE,FALSE,FALSE
Physiology & Anatomy,Physiology,Anti-emetics 3,Which single intervention is most effective at preventing post-operative nausea and vomiting?,,Cyclizine 50mg,Propofol TIVA,Ondansetron 4mg IV,Dexamethasone 6.6mg,Avoid Nitrous Oxide,TIVA is associated with a 30% relative risk reduction of PONV compared to 25% relative risk reduction for all of the other interventions (except Nitrous oxide avoidance which has no strong effect). TIVA should be used according to local guidelines by anaesthetists with sufficient training.,Propofol TIVA,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Anti-emetics 4,Which of the following anti-emetics is a Neurokinin-1 receptor antagonist?,,Aprepitant,Scopolamine,Palonesetron,Dimenhydrinate,Droperidol,Aprepitant is a promising anti-emetic drug which may reduce the symptoms of PONV by 80% in combination with ondansetron and dexamethasone. Scopolamine is hyoscine the anticholinergic. Dimenhydrate is an anti-histamine. Palonesetron is a 5HT-3 antagonist.,Aprepitant,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 1,What is the mechanism of action of Metronidazole?,https://i.imgur.com/yo92MBd.jpg,Affect protein synthesis by inhibition of the  50s ribosome,Affect protein synthesis by inhibition of the  30s ribosome,Inhibition of cell wall synthesis,Inhibits nucleic acid synthesis,Inhibition of peptidoglycan synthesis,Metronidazole is an antibiotic effective against anaerobic bacteria and works by inhibiting nucleic acid synthesis. See the table below for a description of mechanisms of action for commonly used antibiotics.,Inhibits nucleic acid synthesis,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 10,"A 38 year old female patient complained of dental pain. She was seen in A&E and treated with a 5 day course of oral Co-Amoxiclav. She has returned 4 days later with a fever, diarrhoea,  WCC of 14 and a Creatinine of 62. Her stool specimen has tested positive for Clostridium difficile toxin. Her HR is 85, her BP is 115/75.  She has been isolated and admitted to a side room. Which is the most appropriate antibiotic regimen?",,Metronidazole 400mg PO TDS,Tazocin 4.5g IV TDS,Vancomycin 1g IV BD,Metronidazole 500mg IV TDS,Vancomycin 125mg PO QDS,This is the first episode of non-severe C. diff infection so the current recommendation is to start with oral Vancomycin if available. If Vancomycin is not available then oral Fidaxomycin or Metronidazole could be considered. Oral Vancomycin is not absorbed so only acts as an antibacterial agent in the gut. In severe C. diff oral Vancomycin is increased in dose to 500mg QDS and Metronidazole might be added.,Vancomycin 125mg PO QDS,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 11,A patient with COVID 19 was admitted to ICU for intubation and ventilation. Broad spectrum antibiotics have been commenced to treat community acquired pneumonia until further tests return. Which of the following antibiotics is most likely to cause QT prolongation on a 12 lead ECG?,,Clarithromycin,Doxycycline,Amoxicillin,Clindamycin,Tazocin,"There are several groups of medications that can cause QT prolongation: Macrolide antibiotics (clarithromycin),  Haloperidol, Methadone, Cisapride and Arsenic. ",Clarithromycin,TRUE,FALSE,FALSE
Pharmacology & Statistics,Pharmacology,Antibiotics 2,What is the mechanism of action of Gentamicin?,https://i.imgur.com/yo92MBd.jpg,Folate inhibition,Inhibits the bacterial ribosome ,Inhibits cell wall synthesis,RNA inhibition,Inhibits DNA synthesis,"Gentamicin is an bactericidal aminoglycoside which enters the cell and inhibits the 30s bacterial ribosome. It's action is proportional to the peak concentration which is why it is best given as a single bolus. It has a long-lasting synergistic action with antibiotics that break down the cell wall e.g. penicillins. The main side effects are ototoxicity, nephrotoxicity and muscle weakness.",Inhibits the bacterial ribosome ,TRUE,FALSE,FALSE
