Subject,Topic,QuestionType,MainStem,QuestionText,OptionsSeparatedByForwardSlash,CorrectOption,Explanation,ImagePath,References
Simulation,Desaturation,InputText,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What would be your priorities while assessing the patient?,Increase FiO2 to 100%/Airway assessment/Cause of Hypoxia/Examination of breathing/Ventilator settings/History from nurse,Ask the consultant to review ,"The severe hypoxaemia and high ventilation pressures which could be due to a pneumothorax. Senior help should be sought while conducting a full ABCDE assessment of the patient, apply 100% O2. Check for equipment failures from machine to patient. Consider bag ventilating the patient. Send and ABG and work through the possible causes of hypoxia.",DesaturationSubquestionA.jpeg~DesaturationSubquestionB.jpeg~DesaturationSubquestionB.jpeg,
Simulation,Desaturation,Checklist,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What is your differential diagnosis for the cause of hypoxaemia in this patient?,Pneumonia/Acute Liver Failure/Pneumothorax/Anaemia/Pulmonary Embolism/Pulmonary Oedema/Pleural effusion/Bronchospasm,Pneumothorax/Pneumonia/Pulmonary Embolism/Pulmonary Oedema/Pleural effusion/Bronchospasm,"The possible causes of hypoxia can be grouped into Hypoxic Hypoxia, Anaemic Hypoxia, Ischaemic Hypoxia and Cytotoxic Hypoxia. Hypoxic Hypoxia may be caused by: inadequate ventilation, limited gas diffusion, shunt.",DesaturationSubquestionB.jpeg,
Simulation,Desaturation,SBA,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,"On examination you find hyperresonance to percussion on the left side, reduced air entry on the left side and the trachea deviated to the right. What is the most likely diagnosis?",Pneumonia/Pneumothorax/Pulmonary Embolism/Pulmonary Oedema/Pleural effusion/Bronchospasm,Pneumothorax,"Examination findings suggesting pneumothorax: decreased chest excursion, hyper inflated chest, diminished breath sounds, hyper resonance to percussion.",DesaturationSubquestionB.jpeg,
Simulation,Desaturation,InputText,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What are the treatment options for Pneumothorax?,Observation/Oxygen/Aspiration with 16G cannula/Chest drain/Thoracostomy,Observation/Oxygen/Aspiration with 16G cannula/Chest drain/Thoracostomy,"The BTS guidelines help to guide management of pneumothoraces with the options: Observation, Oxygen, Aspiration, Chest Drain. In patients with a significant PTX (> 3cm at apex or 2cm at hilum) studies suggest that it is safe to observe patients as long as they can be re-assessed for expansion or worsening of symptoms.",,
Simulation,Desaturation,LabellingInput,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What are the BTS guidelines for treatment of Pneumothorax?,Primary PTX <2cm: /Primary PTX >2cm: /Bilateral PTX: /Unstable patient: /Secondary PTX > 1cm:,Consider Discharge/Aspirate 16G/Chest drain/Chest drain/Chest drain,"Guidelines from the British Thoracic Society (BTS) published in 2010 states that if the patient is: haemodynamically stable; the pneumothorax is unilateral and with a size >2cm or breathless then aspirate first. Only insert a chest drain if haemodynamically unstable, bilateral or there has been no improvement with aspiration.",,
Simulation,Desaturation,InputText,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What are complications of chest drain insertion?,Bleeding/Bruising/Nerve Damage/Organ Damage/ Pneumothorax,Malposition/Recurrence/Bleeding/Organ Damage/Infection/Re-expansion oedema,"The complications of chest drains can be severe which is why confirmation of the diagnosis and the side of the pneumothorax are essential before performing the procedure. Complications are: malposition, infection, bleeding, organ damage and re-expansion pulmonary oedema. ",DesaturationSubquestionD.jpeg,
Simulation,Desaturation,SBA,You have been bleeped by the ICU Nurse in Charge who has asked you to review an intubated patient with severe asthma who is desaturating with raised ventilatory pressures. ,What are the ARDSNet ventilation recommendations?,Vt 8mL\kg + Pplat < 30cmH20/Vt 8mL\kg + PEEP 10 cmH20/Vt 6mL\kg + Pplat < 30cmH20/Vt 6mL\kg + PEEP 5 - 18 cmH20/Vt 6mL\kg + Ppeak < 45 cmH20,Vt 6mL\kg + Pplat < 30cmH20,"ARDSNet Recommendations: Vt 6mL/kg, PEEP sliding scale based on FiO2, Aim for SpO2 88 - 95%, Adjust RR to maintain Minute Volume, aim pH 7.30 to 7.45.",,https://litfl.com/ardsnet-ventilation-strategy/
Simulation,EpiduralTopup,InputText,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,What are the possible causes of cardiovascular collapse after epidural top-up?,Local Anaesthetic Toxicity/High Block/Hypotension/Obstetric Haemorrhage/Amniotic Fluid Embolism/Sepsis,Local Anaesthetic Toxicity/High Block/Hypotension/Obstetric Haemorrhage/Amniotic Fluid Embolism/Sepsis,"An epidural that has been working as expected should be suitable for top-up in theatre. There is a risk of cardiovascular collapse due to accidental intravenous injection causing local anaesthetic toxicity, accidental subarachnoid injection leading to a high block and hypotension due to side effect of epidural anaesthesia. Obstetric causes may be: Sepsis, AFE and Haemorrhage.",EpiduralTopUpA.jpeg,
Simulation,EpiduralTopup,SBA,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,Which of the following is the most appropriate test dose for epidural top-up to confirm epidural placement?,Lidocaine 1% 3 ml/Lidocaine 2% 3ml/Bupivacaine 0.25% 3ml/Levobupivacaine 0.5% 3ml/Ropivacaine 0.75% 3ml,Lidocaine 2% 3ml,"The epidural catheter can be confirmed by gentle aspiration of the catheter and administration of a test dose. Intrathecal lidocaine reliably produces motor block within 90s whereas epidural administration may take 8 minutes. Intravascular injection can be determined by asking about dizziness, a metallic taste or tinnitus. Levobupivacaine doesn’t reliably cause motor block and the onset is longer than lidocaine. Adrenaline 20 mcg can be added to the top-up mix which may cause an increase in HR of 10 in intrathecal injection.",EpiduralTopUpB.jpeg,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
Simulation,EpiduralTopup,SBA,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,What are the layers between the skin and the epidural space?,"Subcutaneous tissue, fat, supraspinous ligament, interspinous ligament, ligament flavum/Subcutaneous tissue, fat, interspinous ligament, ligament flavum, supraspinous ligament/Subcutaneous tissue, fat, interspinous ligament, ligament flavum, dura mater","Subcutaneous tissue, fat, supraspinous ligament, interspinous ligament, ligament flavum","The layers from the skin to the potential epidural space: skin, subcutaneous tissue, fat, supraspinous ligament, interspinous ligament, ligament flavum and the epidural space. ",EpiduralTopUpC.jpeg,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
Simulation,EpiduralTopup,InputText,A CT2 has asked for help in obstetric theatre after an epidural top-up for forceps delivery. The patient has become hypotensive and bradycardic.,What are the risk factors for failure of conversion of epidural analgesia to surgical anaesthesia?,Frequent epidural top-ups/increased reported pain/Non-obstetric anaesthetist/Urgent LSCS/Increased BMI/Increased duration/Epidural late in labour,Frequent epidural top-ups/increased reported pain/Non-obstetric anaesthetist/Urgent LSCS/Increased BMI/Increased duration/Epidural late in labour,"The strongest risk factor for failure of epidural top-up for surgery is emergency LSCS (OR 40), followed by non-obstetric anaesthetist(OR 4.6), greater need of top-ups for analgesia. Other risk factors are increased pain, increased BMI, late insertion of epidural and increased duration of epidural insertion.",,"Conversion of labour epidural analgesia to surgical anaesthesia for emergency intrapartum Caesarean section, N Desai BJA Ed 2020"
